depot | noun | /ˈdiːpoʊ/ | a place where goods or vehicles are kept | trạm tập kết | The depot opens at half past five. | Trạm tập kết mở cửa lúc năm giờ rưỡi.
stocktake | noun | /ˈstɑːkteɪk/ | a count of everything held in a store | đợt kiểm kê | The annual stocktake closes the depot for a day. | Đợt kiểm kê hằng năm đóng cửa kho một ngày.
consignment | noun | /kənˈsaɪnmənt/ | a batch of goods sent together | lô hàng | The consignment cleared customs on Tuesday. | Lô hàng thông quan vào thứ Ba.
freight | noun | /freɪt/ | goods carried by ship, plane or truck | hàng vận chuyển | Air freight costs more but arrives sooner. | Vận chuyển hàng không đắt hơn nhưng tới sớm hơn.
carrier | noun | /ˈkæriər/ | a company that transports goods | hãng vận chuyển | We changed carrier after too many delays. | Chúng tôi đổi hãng vận chuyển sau quá nhiều lần trễ.
pallet | noun | /ˈpælət/ | a flat wooden base used for stacking goods | pa lét, kệ kê hàng | Each pallet holds forty boxes. | Mỗi pa lét chứa bốn mươi thùng.
forklift | noun | /ˈfɔːrklɪft/ | a small vehicle for lifting and moving heavy loads | xe nâng | Only trained staff may drive the forklift. | Chỉ nhân viên đã được đào tạo mới được lái xe nâng.
loading bay | noun | /ˈloʊdɪŋ beɪ/ | the area where trucks are loaded and unloaded | khu bốc dỡ hàng | The loading bay is closed for repairs. | Khu bốc dỡ hàng đang đóng để sửa chữa.
dispatch | noun | /dɪsˈpætʃ/ | the act of sending goods out | việc gửi hàng đi | Dispatch happens twice a day. | Việc gửi hàng đi diễn ra hai lần mỗi ngày.
cargo | noun | /ˈkɑːrɡoʊ/ | goods carried by a ship, plane or truck | hàng hoá chuyên chở | The cargo was checked before it left the port. | Hàng hoá được kiểm tra trước khi rời cảng.
courier | noun | /ˈkʊriər/ | a company or person who delivers packages quickly | dịch vụ chuyển phát | A courier will collect the envelope at noon. | Bên chuyển phát sẽ lấy phong bì lúc trưa.
waybill | noun | /ˈweɪbɪl/ | a document that travels with goods and lists them | vận đơn | The driver keeps one copy of the waybill. | Tài xế giữ một bản vận đơn.
clearance | noun | /ˈklɪrəns/ | official permission for goods to pass a border | thủ tục thông quan | Clearance took longer than the office expected. | Thủ tục thông quan mất nhiều thời gian hơn dự kiến.
tariff | noun | /ˈtærɪf/ | a tax paid on goods coming into a country | thuế nhập khẩu | A new tariff raised the cost of imports. | Thuế nhập khẩu mới làm tăng chi phí hàng nhập.
haulier | noun | /ˈhɔːliər/ | a company that transports goods by road | nhà vận tải đường bộ | The haulier covers the whole southern route. | Nhà vận tải đường bộ phụ trách toàn tuyến phía nam.
distributor | noun | /dɪˈstrɪbjətər/ | a company that supplies goods to shops | nhà phân phối | The distributor covers the whole northern region. | Nhà phân phối phụ trách toàn khu vực phía bắc.
logistics | noun | /ləˈdʒɪstɪks/ | the organising of moving and storing goods | hậu cần | Logistics accounts for a large share of costs. | Hậu cần chiếm phần lớn chi phí.
lead time | noun | /ˈliːd taɪm/ | the time between ordering and receiving goods | thời gian giao hàng | The usual lead time is three weeks. | Thời gian giao hàng thường là ba tuần.
backlog | noun | /ˈbæklɔːɡ/ | work or orders that have built up and are not done | lượng tồn đọng | The backlog cleared after the extra shift. | Lượng tồn đọng được giải quyết sau ca làm thêm.
surplus | noun | /ˈsɜːrpləs/ | an amount that is more than needed | phần dư thừa | The surplus stock was moved to another branch. | Hàng dư thừa được chuyển sang chi nhánh khác.
shortage | noun | /ˈʃɔːrtɪdʒ/ | a situation where there is not enough of something | tình trạng thiếu hụt | A shortage of drivers slowed every route. | Tình trạng thiếu tài xế làm chậm mọi tuyến.
tracking number | noun | /ˈtrækɪŋ ˌnʌmbər/ | a code used to follow a package on its journey | mã vận đơn | Enter the tracking number to see the status. | Nhập mã vận đơn để xem tình trạng.
warehouse | noun | /ˈwerhaʊs/ | a large building where goods are stored before being sold or sent out | nhà kho | The warehouse near the port handles most of our exports. | Nhà kho gần cảng lo phần lớn hàng xuất khẩu của chúng tôi.
warehouse manager | noun | /ˈwerhaʊs ˌmænɪdʒər/ | the person in charge of a store of goods | quản lý kho | The warehouse manager signs every transfer. | Quản lý kho ký duyệt mọi phiếu chuyển hàng.
dispatch note | noun | /dɪsˈpætʃ noʊt/ | a document sent with goods listing what is inside | phiếu giao hàng | Check the dispatch note against the boxes. | Đối chiếu phiếu giao hàng với số thùng thực nhận.
