account | noun | /əˈkaʊnt/ | a record of money held by a bank | tài khoản ngân hàng | You can open an account with your ID card. | Bạn có thể mở tài khoản bằng thẻ căn cước.
withdrawal | noun | /wɪðˈdrɔːəl/ | the act of taking money out of an account | việc rút tiền | The daily withdrawal limit is ten million dong. | Hạn mức rút tiền hằng ngày là mười triệu đồng.
deposit | noun | /dɪˈpɑːzɪt/ | money paid into an account | tiền gửi, khoản đặt cọc | A deposit of five hundred thousand secures the booking. | Khoản đặt cọc năm trăm nghìn đồng giữ chỗ đặt trước.
interest | noun | /ˈɪntrəst/ | money paid by a bank for keeping your money with it | tiền lãi | The savings account earns interest every month. | Tài khoản tiết kiệm nhận tiền lãi hằng tháng.
mortgage | noun | /ˈmɔːrɡɪdʒ/ | a loan used to buy a house | khoản vay mua nhà | Their mortgage runs for twenty years. | Khoản vay mua nhà của họ kéo dài hai mươi năm.
loan | noun | /loʊn/ | money borrowed that must be paid back | khoản vay | Small businesses can apply for a loan online. | Doanh nghiệp nhỏ có thể đăng ký khoản vay trực tuyến.
transaction | noun | /trænˈzækʃn/ | an act of moving money between accounts | giao dịch | The transaction was completed within seconds. | Giao dịch được hoàn tất trong vài giây.
statement | noun | /ˈsteɪtmənt/ | a record of money going in and out of an account | sao kê | The bank sends statements on the first of each month. | Ngân hàng gửi sao kê vào ngày một hằng tháng.
balance | noun | /ˈbæləns/ | the amount of money in an account | số dư | Check your balance before making a payment. | Hãy kiểm tra số dư trước khi thanh toán.
currency | noun | /ˈkɜːrənsi/ | the system of money used in a country | tiền tệ, đơn vị tiền | Prices are listed in the local currency. | Giá được niêm yết bằng đơn vị tiền địa phương.
exchange rate | noun | /ɪksˈtʃeɪndʒ reɪt/ | the value of one currency compared to another | tỷ giá hối đoái | The exchange rate changes slightly every day. | Tỷ giá hối đoái thay đổi nhẹ mỗi ngày.
branch | noun | /bræntʃ/ | one of the local offices of a bank or company | chi nhánh ngân hàng | The nearest branch is on Le Loi street. | Chi nhánh gần nhất nằm trên đường Lê Lợi.
profit | noun | /ˈprɑːfɪt/ | money that remains after all costs are paid | lợi nhuận | The company reported a record profit this year. | Công ty báo cáo lợi nhuận kỷ lục năm nay.
revenue | noun | /ˈrevənuː/ | the total income a business receives | doanh thu | Online sales now make up half of total revenue. | Doanh thu trực tuyến giờ chiếm một nửa tổng doanh thu.
tax | noun | /tæks/ | money that people must pay to the government | thuế | Sales tax is added at the checkout. | Thuế bán hàng được tính tại quầy thanh toán.
asset | noun | /ˈæset/ | something valuable that a person or company owns | tài sản | The firm manages assets worth ten million dollars. | Công ty quản lý khối tài sản trị giá mười triệu đô la.
debt | noun | /det/ | money that is owed to someone else | khoản nợ | The business paid off all its debts in March. | Doanh nghiệp đã trả hết nợ vào tháng Ba.
fund | noun | /fʌnd/ | money saved for a particular purpose | quỹ | A training fund supports employee courses. | Một quỹ đào tạo hỗ trợ các khoá học của nhân viên.
share | noun | /ʃer/ | one part of the ownership of a company | cổ phần | Employees may buy shares at a reduced price. | Nhân viên có thể mua cổ phần với giá ưu đãi.
investment | noun | /ɪnˈvestmənt/ | money put into something to gain profit | khoản đầu tư | New equipment is a long-term investment. | Thiết bị mới là một khoản đầu tư dài hạn.
withdraw | verb | /wɪðˈdrɔː/ | to take money out of an account | rút tiền | She withdrew some cash from the ATM near the gate. | Cô ấy rút một ít tiền mặt từ cây ATM gần cổng.
deposit | verb | /dɪˈpɑːzɪt/ | to pay money into an account | gửi tiền vào | You can deposit your salary into any of our branches. | Bạn có thể gửi lương vào bất kỳ chi nhánh nào của chúng tôi.
