museum | noun | /mjuˈziːəm/ | a building displaying historical or artistic objects | bảo tàng | The school group spent the morning at the natural history museum. | Nhóm học sinh đã dành cả buổi sáng ở bảo tàng lịch sử tự nhiên.
exhibit | noun | /ɪɡˈzɪbɪt/ | an object or collection shown to the public | vật trưng bày | The new exhibit of ancient pottery opens to visitors on Friday. | Khu trưng bày gốm cổ mới mở cửa cho khách tham quan vào thứ Sáu.
tour guide | noun | /tʊr ɡaɪd/ | a person who shows visitors around a place | hướng dẫn viên | Our tour guide pointed out the oldest sculpture in the hall. | Hướng dẫn viên của chúng tôi đã chỉ bức tượng cổ nhất trong phòng.
visitor | noun | /ˈvɪzɪtər/ | a person who goes to see a place | khách tham quan | Every visitor receives a free map at the entrance. | Mỗi khách tham quan đều nhận một tấm bản đồ miễn phí ở lối vào.
curator | noun | /kjʊˈreɪtər/ | the official in charge of a museum collection | giám tuyển | The curator arranged the paintings in chronological order. | Giám tuyển đã sắp xếp các bức tranh theo trình tự thời gian.
painting | noun | /ˈpeɪntɪŋ/ | a picture made with paint on canvas | bức tranh | This painting of the harbor dates back to the nineteenth century. | Bức tranh vẽ bến cảng này có từ thế kỷ mười chín.
sculpture | noun | /ˈskʌlptʃər/ | a carved or molded three-dimensional artwork | tác phẩm điêu khắc | The marble sculpture survived the fire without serious damage. | Bức tượng cẩm thạch đã qua trận hỏa hoạn mà không hư hại nghiêm trọng.
pedestal | noun | /ˈpedɪstl/ | a raised base supporting a statue or vase | bệ đỡ | A small bronze bust stands on a white pedestal. | Một bức tượng bán thân bằng đồng nhỏ đặt trên bệ đỡ màu trắng.
display case | noun | /dɪˈspleɪ keɪs/ | a glass box protecting fragile objects | tủ trưng bày | The diamond necklace is kept in a locked display case. | Chiếc vòng cổ kim cương được giữ trong tủ trưng bày có khóa.
artifact | noun | /ˈɑːrtɪfækt/ | a historical object made by people | hiện vật | Archaeologists found clay artifacts in the ancient tomb. | Các nhà khảo cổ đã tìm thấy hiện vật bằng đất sét trong ngôi mộ cổ.
placard | noun | /ˈplækɑːrd/ | a small plaque giving information about an exhibit | bảng thuyết minh | A placard beside the portrait explains the artist's life. | Tấm bảng thuyết minh cạnh bức chân dung giải thích về cuộc đời họa sĩ.
stanchion | noun | /ˈstænʃn/ | a post with a rope keeping visitors back | cọc rào dây | Velvet stanchions keep the crowd away from the statue. | Hàng cọc rào dây nhung giữ đám đông tránh xa bức tượng.
audio guide | noun | /ˈɔːdioʊ ɡaɪd/ | a device narrating exhibits through headphones | tai nghe thuyết minh | Rent an audio guide to hear stories behind each room. | Hãy thuê một tai nghe thuyết minh để nghe câu chuyện sau mỗi căn phòng.
pamphlet | noun | /ˈpæmflət/ | a small paper booklet with maps or information | tờ gấp giới thiệu | The pamphlet lists all galleries open this weekend. | Tờ gấp giới thiệu liệt kê mọi phòng trưng bày mở cửa cuối tuần này.
admission ticket | noun | /ədˈmɪʃn ˈtɪkɪt/ | a pass allowing entry to an exhibition | vé vào cửa | Show your admission ticket to the guard at the gate. | Hãy xuất trình vé vào cửa cho nhân viên bảo vệ ở cổng.
