check-in counter | noun | /ˈtʃek ɪn ˈkaʊntər/ | a desk where passengers register for a flight and leave their luggage | quầy làm thủ tục | Please go to the check-in counter two hours before departure. | Vui lòng đến quầy làm thủ tục hai tiếng trước giờ khởi hành.
conveyor belt | noun | /kənˈveɪər belt/ | a moving strip that carries suitcases through the airport | băng chuyền hành lý | Place your bag on the conveyor belt for screening. | Đặt túi của bạn lên băng chuyền để soi chiếu.
carry-on | noun | /ˈkæri ɑːn/ | a small bag passengers take into the aircraft cabin | hành lý xách tay | Each passenger is allowed one carry-on. | Mỗi hành khách được mang một túi hành lý xách tay.
departure board | noun | /dɪˈpɑːrtʃər bɔːrd/ | a large display showing flight times and gate numbers | bảng thông tin chuyến bay | Check the departure board for your gate number. | Kiểm tra bảng thông tin chuyến bay để biết cửa khởi hành.
security checkpoint | noun | /sɪˈkjʊrəti ˈtʃekpɔɪnt/ | the area where passengers and bags are screened before boarding | điểm kiểm tra an ninh | The security checkpoint opens three hours before the flight. | Điểm kiểm tra an ninh mở ba tiếng trước chuyến bay.
gate | noun | /ɡeɪt/ | the area where passengers board a specific flight | cửa khởi hành | Flight 205 is now boarding at gate 12. | Chuyến bay 205 đang làm thủ tục lên máy bay tại cửa số 12.
aisle seat | noun | /aɪl siːt/ | a seat next to the walkway inside an aircraft | ghế cạnh lối đi | I prefer an aisle seat on long flights. | Tôi thích ghế cạnh lối đi trên các chuyến bay dài.
passport control | noun | /ˈpæspɔːrt kənˈtroʊl/ | the checkpoint where officers inspect passports | cửa kiểm soát hộ chiếu | The line at passport control moved quickly. | Hàng chờ ở cửa kiểm soát hộ chiếu di chuyển nhanh.
itinerary | noun | /aɪˈtɪnərəri/ | a detailed plan of a journey with times and routes | lịch trình chuyến đi | The travel agency sent us the full itinerary. | Công ty du lịch đã gửi chúng tôi lịch trình đầy đủ.
announcement | noun | /əˈnaʊnsmənt/ | a public spoken message about flights or delays | thông báo | Listen for announcements about gate changes. | Hãy chú ý nghe các thông báo về đổi cửa khởi hành.
departure lounge | noun | /dɪˈpɑːrtʃər laʊndʒ/ | the seating area where passengers wait after security | phòng chờ khởi hành | The departure lounge offers free Wi-Fi. | Phòng chờ khởi hành có Wi-Fi miễn phí.
ticket agent | noun | /ˈtɪkɪt ˈeɪdʒənt/ | a person who sells tickets and assists passengers at the airport | nhân viên bán vé | Ask a ticket agent if you miss your connection. | Hãy hỏi nhân viên bán vé nếu bạn lỡ chuyến nối.
overhead bin | noun | /ˈoʊvərhed bɪn/ | a storage compartment above the seats in an aircraft | ngăn hành lý trên cao | Store small bags in the overhead bin. | Cất túi nhỏ vào ngăn hành lý trên cao.
runway | noun | /ˈrʌnweɪ/ | the long paved strip where aircraft take off and land | đường băng | The plane waited ten minutes for a free runway. | Máy bay chờ mười phút để có đường băng trống.
flight attendant | noun | /ˈflaɪt əˈtɛndənt/ | a crew member who serves and assists passengers during a flight | tiếp viên hàng không | The flight attendant helped me find my seat. | Tiếp viên hàng không giúp tôi tìm ghế ngồi.
