take a break | take | take | VERB_NOUN | nghỉ giải lao | Take a break now and let your stress melt away! | Vui lòng nghỉ giải lao và để căng thẳng tan biến. | make,do,get
take a chance | take | take | VERB_NOUN | chấp nhận sự may rủi | Come on, take a chance. You may lose, but it’s worth trying. | Hãy thử một lần; bạn có thể thất bại nhưng đáng để thử. | make,do,get
take a look | take | take | VERB_NOUN | nhìn; xem xét | Take a look inside the world’s largest cave. Son Doong Cave in Vietnam. | Hãy xem bên trong hang động lớn nhất thế giới. | make,do,get
take a rest | take | take | VERB_NOUN | nghỉ ngơi | Please go take a rest. Your body needs it. | Vui lòng nghỉ ngơi; cơ thể bạn cần điều đó. | make,do,get
take a seat | take | take | VERB_NOUN | ngồi xuống | Can everyone go ahead and take a seat, and let’s get started. | Mọi người hãy ngồi xuống để chúng ta bắt đầu. | make,do,get
take a taxi | take | take | VERB_NOUN | đón một chiếc taxi | Never, ever take a taxi from the Sài Gòn Airport. | Đừng bao giờ đón taxi từ sân bay Sài Gòn. | make,do,get
take an exam | take | take | VERB_NOUN | đi thi | Ngọc has to take an exam but she doesn’t know any of the answers! | Ngọc phải đi thi nhưng không biết đáp án nào. | make,do,get
take notes | take | take | VERB_NOUN | ghi chú | Students use laptops or pen and paper to take notes. | Sinh viên dùng máy tính hoặc giấy bút để ghi chú. | make,do,get
take someone’s place | take | take | VERB_NOUN | thế chỗ ai đó | Someday someone’s going to take your place. | Một ngày nào đó sẽ có người thế chỗ bạn. | make,do,get
take someone’s temperature | take | take | VERB_NOUN | đo nhiệt độ của ai đó | You can take someone’s temperature quickly and easily using a thermometer. | Bạn có thể nhanh chóng đo nhiệt độ của ai đó bằng nhiệt kế. | make,do,get
make preparations | make | make | VERB_NOUN | chuẩn bị | Any intelligent person must make preparations for the future. | Mọi người thông minh đều phải chuẩn bị cho tương lai. | do,take,have
make a decision | make | make | VERB_NOUN | ra một quyết định | Once you make a decision, the universe conspires to make it happen. | Khi đã quyết định, bạn cần thực hiện quyết định đó. | do,take,have
make a discovery | make | make | VERB_NOUN | khám phá ra | Scientists make a discovery to boost drug development. | Các nhà khoa học khám phá ra điều này để thúc đẩy phát triển thuốc. | do,take,have
make a call | make | make | VERB_NOUN | gọi điện thoại | You can make a call from your Gmail account. | Bạn có thể gọi điện từ tài khoản Gmail. | do,take,have
make a noise | make | make | VERB_NOUN | gây tiếng ồn | Let’s just make a noise before someone else gets hurt. | Chúng ta hãy gây chút tiếng động trước khi có người bị thương. | do,take,have
make a promise | make | make | VERB_NOUN | hứa một điều gì | It is better to say nothing than to make a promise and not keep it. | Tốt hơn là không nói gì còn hơn hứa rồi không giữ lời. | do,take,have
make a complaint | make | make | VERB_NOUN | đưa ra khiếu nại | You can make a complaint over the phone, by email or in writing. | Bạn có thể khiếu nại qua điện thoại, email hoặc bằng văn bản. | do,take,have
make an effort | make | make | VERB_NOUN | nỗ lực; cố gắng | My advice is to stop worrying about it and make an effort. | Lời khuyên của tôi là ngừng lo lắng và cố gắng. | do,take,have
make a comment | make | make | VERB_NOUN | đưa ra lời bình luận | I want to make a comment on ANCNV. | Tôi muốn đưa ra một bình luận về ANCNV. | do,take,have
make a suggestion | make | make | VERB_NOUN | đưa ra một đề nghị | May I make a suggestion? | Tôi có thể đưa ra một đề nghị không? | do,take,have
make a list | make | make | VERB_NOUN | lập danh sách | First, I must make a list of all the things I need to do. | Trước tiên, tôi phải lập danh sách tất cả những việc cần làm. | do,take,have
make a connection | make | make | VERB_NOUN | tạo một kết nối | Let’s make a connection and have a conversation! | Hãy tạo một kết nối và trò chuyện với nhau. | do,take,have
make a difference | make | make | VERB_NOUN | tạo nên sự khác biệt | Together, we can make a difference. | Cùng nhau, chúng ta có thể tạo nên sự khác biệt. | do,take,have
make a mess | make | make | VERB_NOUN | làm bừa bộn | Give it a try, but don’t make a mess of it - Sandy made a mess of the kitchen. | Hãy thử, nhưng đừng làm bừa bộn. | do,take,have
make a mistake | make | make | VERB_NOUN | mắc lỗi | When you make a mistake, your boss will be watching you closely. | Khi bạn mắc lỗi, sếp sẽ theo dõi bạn chặt chẽ. | do,take,have
make money | make | make | VERB_NOUN | kiếm tiền | It is possible to make money from home if you have the right set of skills. | Có thể kiếm tiền tại nhà nếu bạn có kỹ năng phù hợp. | do,take,have
make progress | make | make | VERB_NOUN | tiến bộ | Why do some people make progress and others don’t? | Tại sao một số người tiến bộ còn những người khác thì không? | do,take,have
make room | make | make | VERB_NOUN | tạo chỗ trống | Make room for Vinnie. He needs a place to sit - I’ll make room for this package. | Hãy tạo chỗ cho Vinnie; anh ấy cần một chỗ ngồi. | do,take,have
make trouble | make | make | VERB_NOUN | gây rắc rối | China makes trouble with Vietnam in South China Sea. | Đừng gây rắc rối trong khu vực này. | do,take,have
do damage | do | do | VERB_NOUN | gây thiệt hại | Unsupervised TV watching would do damage to the child. | Việc xem TV không có người giám sát có thể gây hại cho trẻ. | make,take,have
do research | do | do | VERB_NOUN | nghiên cứu | He tried to do research on the language of bees. | Anh ấy cố gắng nghiên cứu về ngôn ngữ của loài ong. | make,take,have
do justice | do | do | VERB_NOUN | thực hiện tốt một việc | She did justice to our side in the contract negotiations. | Cô ấy đã thực hiện tốt phần việc của mình trong cuộc đàm phán hợp đồng. | make,take,have
do harm | do | do | VERB_NOUN | gây tổn hại | Dogs are capable of doing harm to human beings. | Chó có thể gây tổn hại cho con người. | make,take,have
do business | do | do | VERB_NOUN | kinh doanh | I found them very easy to do business with. | Tôi thấy họ rất dễ hợp tác kinh doanh. | make,take,have
do nothing | do | do | VERB_NOUN | không làm gì | I can’t just sit at home and do nothing. | Tôi không thể cứ ngồi ở nhà và không làm gì. | make,take,have
do someone a favor | do | do | VERB_NOUN | giúp ai đó | Can you do me a favor? | Bạn có thể giúp tôi một việc được không? | make,take,have
do the cooking | do | do | VERB_NOUN | nấu ăn | I always do the cooking around here. | Tôi luôn là người nấu ăn ở đây. | make,take,have
do the housework | do | do | VERB_NOUN | làm việc nhà | I always help my mom to do the housework. | Tôi luôn giúp mẹ làm việc nhà. | make,take,have
do the shopping | do | do | VERB_NOUN | mua sắm | I often do the shopping in the evenings. | Tôi thường đi mua sắm vào buổi tối. | make,take,have
do your best | do | do | VERB_NOUN | làm hết sức mình | You must do the best for your health. | Bạn phải làm hết sức vì sức khỏe của mình. | make,take,have
do your hair | do | do | VERB_NOUN | làm tóc | You can do your hair after a shower. | Bạn có thể làm tóc sau khi tắm. | make,take,have
do your homework | do | do | VERB_NOUN | làm bài tập về nhà | You must do your homework every day. | Bạn phải làm bài tập về nhà mỗi ngày. | make,take,have
break a habit | break | break | VERB_NOUN | phá bỏ một thói quen | Thumb sucking can be a difficult habit for a child to break. | Bỏ thói quen mút ngón tay có thể khó đối với trẻ. | make,keep,do
break a leg | break | break | VERB_NOUN | chúc may mắn | Let’s all go and do our best. Break a leg! | Chúc may mắn! | make,keep,do
break a promise | break | break | VERB_NOUN | thất hứa | I know it is a bad thing to break a promise. | Tôi biết thất hứa là điều không tốt. | do,hear,take
break a record | break | break | VERB_NOUN | phá kỷ lục | The league record was broken after thirty years. | Kỷ lục của giải đấu đã bị phá sau ba mươi năm. | make,keep,do
break free | break | break | VERB_NOUN | thoát ra; giải thoát | I broke the gun free from her grasp. | Tôi đã thoát khẩu súng khỏi tay cô ấy. | make,keep,do
break someone’s heart | break | break | VERB_NOUN | làm ai đó đau khổ | It breaks my heart to see him so unhappy. | Tôi đau lòng khi thấy anh ấy buồn như vậy. | make,keep,do
break the ice | break | break | VERB_NOUN | phá vỡ sự im lặng | He tried to break the ice, but she was a little cold. | Anh ấy cố gắng phá vỡ sự im lặng. | make,keep,do
break the law | break | break | VERB_NOUN | phạm luật | If you never break the law, you will never get arrested. | Nếu bạn không phạm luật, bạn sẽ không bị bắt. | make,keep,do
break the news | break | break | VERB_NOUN | đưa tin xấu | I hate to break the news, but you’re fired. | Tôi ghét phải báo tin xấu rằng bạn bị sa thải. | make,keep,do
break the rules | break | break | VERB_NOUN | vi phạm quy tắc | Some people break a few rules, others break all of them. | Một số người vi phạm vài quy tắc, số khác vi phạm tất cả. | make,keep,do
get angry | get | get | VERB_ADJ | nổi giận | Vinnie would never get angry at anything or anybody. | Vinnie sẽ không bao giờ nổi giận với bất cứ ai. | become,make,take
get divorced | get | get | VERB_ADJ | ly hôn | The city where couples are most likely to get divorced. | Đó là thành phố nơi các cặp đôi dễ ly hôn nhất. | become,make,take
get frightened | get | get | VERB_ADJ | bị khiếp sợ | She gets frightened when he shouts at her. | Cô ấy sợ hãi khi anh ấy quát cô. | become,make,take
get married | get | get | VERB_ADJ | kết hôn | Before you can get married in Florida, you need a Marriage License. | Trước khi kết hôn, bạn cần giấy phép kết hôn. | become,make,take
get pregnant | get | get | VERB_ADJ | mang thai | Once you stop using birth control, you can get pregnant at any time. | Bạn có thể mang thai bất cứ lúc nào sau khi ngừng tránh thai. | become,make,take
get ready | get | get | VERB_ADJ | sẵn sàng | Are you ready, Sandy? I got ready for bed. | Tôi đã sẵn sàng đi ngủ. | become,make,take
get upset | get | get | VERB_ADJ | khó chịu; buồn bực | Please don’t get upset over minor setbacks. | Đừng buồn bực vì những thất bại nhỏ. | become,make,take
get wet | get | get | VERB_ADJ | bị ướt | If you use a raincoat, you won’t get wet. | Nếu mặc áo mưa, bạn sẽ không bị ướt. | become,make,take
get worried | get | get | VERB_ADJ | lo lắng | Try not to get worried. Don’t let them upset you. | Đừng lo lắng; đừng để họ làm bạn buồn. | become,make,take
catch a ball | catch | catch | VERB_NOUN | bắt một quả bóng | He can catch the ball before it hits the ground. | Anh ấy có thể bắt được quả bóng trước khi nó chạm đất. | take,get,make
catch a cold | catch | catch | VERB_NOUN | bị cảm lạnh | Most people will catch a cold two to four times a year. | Hầu hết mọi người bị cảm lạnh hai đến bốn lần mỗi năm. | take,get,make
catch a movie | catch | catch | VERB_NOUN | đi xem phim | Want to catch a movie tonight? | Tối nay đi xem phim không? | take,get,make
catch a train | catch | catch | VERB_NOUN | đón tàu hỏa | Hey dude, I gotta go catch a train, I’ll see you later | Tôi phải đi đón tàu; hẹn gặp lại. | take,get,make
catch a crook | catch | catch | VERB_NOUN | bắt một kẻ lừa đảo | It takes a crook to catch a crook | Để bắt kẻ lừa đảo, đôi khi cần một kẻ lừa đảo khác. | take,get,make
catch a bus | catch | catch | VERB_NOUN | đón xe buýt | I saw a man trying to catch a bus. | Tôi thấy một người đàn ông đang cố đón xe buýt. | take,get,make
catch a chill | catch | catch | VERB_NOUN | bị lạnh | You can catch a chill from being out in the cold | Bạn có thể bị lạnh nếu ở ngoài trời lạnh quá lâu. | take,get,make
catch a thief | catch | catch | VERB_NOUN | bắt kẻ trộm | The best person to catch a thief is another thief. | Người thích hợp nhất để bắt kẻ trộm đôi khi lại là một tên trộm khác. | take,get,make
catch fire | catch | catch | VERB_NOUN | bắt lửa | Her clothes catch fire while cooking. | Quần áo của cô ấy bắt lửa khi đang nấu ăn. | take,get,make
catch sight of | catch | catch | VERB_PREP | thoáng thấy | I caught sight of the bird just before it flew out of sight. | Tôi thoáng thấy con chim ngay trước khi nó bay khỏi tầm mắt. | take,get,make
catch someone’s attention | catch | catch | VERB_NOUN | thu hút sự chú ý | Lots of girls will show a little leg to catch a guy’s attention. | Nhiều cô gái sẽ cố thu hút sự chú ý của một chàng trai. | take,get,make
catch someone’s eye | catch | catch | VERB_NOUN | lọt vào mắt; thu hút ánh nhìn | A beautiful girl passing by caught his eye | Một cô gái xinh đẹp đi ngang qua đã lọt vào mắt anh ấy. | take,get,make
catch the flu | catch | catch | VERB_NOUN | bị cúm | People can catch the flu every year. | Mọi người có thể bị cúm mỗi năm. | take,get,make
come close | come | come | VERB_NOUN | đến gần | He came close to her, but she ran away. | Anh ấy đến gần cô ấy nhưng cô ấy bỏ chạy. | go,get,reach
come early | come | come | VERB_NOUN | đến sớm | Parking is limited, so come early to enjoy the fireworks. | Chỗ đậu xe có hạn, vì vậy hãy đến sớm. | go,get,reach
come first | come | come | VERB_NOUN | được ưu tiên; đến trước | Which comes first, your customers or your employees? | Khách hàng hay nhân viên, ai được ưu tiên hơn? | go,get,reach
come into view | come | come | VERB_NOUN | lọt vào tầm mắt | A large herd of elephants came into view in the distance. | Một đàn voi lớn xuất hiện trong tầm mắt ở phía xa. | go,get,reach
come last | come | come | VERB_NOUN | đến sau cùng | Never put them first, if you always come last. | Đừng luôn đặt họ lên đầu nếu bạn luôn là người đến sau. | go,get,reach
come late | come | come | VERB_NOUN | đến muộn | He doesn’t always come late. | Anh ấy không phải lúc nào cũng đến muộn. | go,get,reach
come on time | come | come | VERB_PREP | đến đúng giờ | He had come on time. | Anh ấy đã đến đúng giờ. | go,get,reach
come prepared | come | come | VERB_NOUN | đến với sự chuẩn bị | We must always come prepared. | Chúng ta luôn phải đến với sự chuẩn bị đầy đủ. | go,get,reach
come right back | come | come | VERB_NOUN | quay lại ngay | I’ll come right back and give you a hand! | Tôi sẽ quay lại ngay và giúp bạn. | go,get,reach
come to a compromise | come | come | VERB_PREP | đi đến một thỏa hiệp | Coming to a compromise can be incredibly difficult. | Đi đến một thỏa hiệp có thể vô cùng khó khăn. | go,get,reach
come to a decision | come | come | VERB_PREP | đi đến quyết định | Have you come to a decision yet? | Bạn đã đi đến quyết định chưa? | go,get,reach
come to an agreement | come | come | VERB_PREP | đi đến thỏa thuận | They have come to an agreement. | Họ đã đi đến một thỏa thuận. | go,get,reach
come to an end | come | come | VERB_PREP | đi đến kết thúc | The celebration came to an end about midnight. | Buổi lễ kết thúc vào khoảng nửa đêm. | go,get,reach
come to a standstill | come | come | VERB_PREP | rơi vào bế tắc | The accident caused traffic to come to a standstill on the freeway. | Vụ tai nạn khiến giao thông rơi vào bế tắc trên đường cao tốc. | go,get,reach
come to terms with | come | come | VERB_PREP | chấp nhận sự thật | She’s never really come to terms with her son’s death. | Cô ấy chưa bao giờ thực sự chấp nhận sự thật về cái chết của con trai. | go,get,reach
come under attack | come | come | VERB_PREP | bị tấn công | Vietnamese boats come under attack in South China Sea. | Các tàu Việt Nam bị tấn công ở Biển Đông. | go,get,reach
go abroad | go | go | VERB_NOUN | đi ra nước ngoài | As Vietnam’s women go abroad, dads tend the home. | Khi phụ nữ Việt Nam ra nước ngoài, các ông bố chăm sóc gia đình. | come,get,make
